feature,weight
intercept,-1.3561678963515398
return_mean1,-0.012693548455176666
return_mean2,-0.11186059384951415
return_sd1,-0.2966151620296572
return_sd2,-0.2745433210480864
return_skew1,0.5069459108110949
return_skew2,0.6565294504095013
return_kurtosis1,-0.5612012688022322
return_kurtosis2,-1.1469961320357112
return_autocorrelation_1_lag1,1.1387761165242145
return_autocorrelation_1_lag2,1.2199372875314505
return_autocorrelation_1_lag3,0.9546990470826853
return_autocorrelation_2_lag1,-0.028420567133978034
return_autocorrelation_2_lag2,0.06066385753080547
return_autocorrelation_2_lag3,-0.14795707054381707
return_correlation_ts1_lag_0,1.8080342538543117
return_correlation_ts1_lag_1,0.2143252104244687
return_correlation_ts1_lag_2,0.31147334630671875
return_correlation_ts1_lag_3,0.040880437456133525
return_correlation_ts2_lag_1,0.1261552624269457
return_correlation_ts2_lag_2,0.28484922543565505
return_correlation_ts2_lag_3,0.008129167375652474
sqreturn_autocorrelation_ts1_lag1,-0.24298443884529755
sqreturn_autocorrelation_ts1_lag2,-0.1873314258220097
sqreturn_autocorrelation_ts1_lag3,-0.08664507759516528
sqreturn_autocorrelation_ts2_lag1,-0.2687627880257445
sqreturn_autocorrelation_ts2_lag2,-0.3499807628244057
sqreturn_autocorrelation_ts2_lag3,-0.23436084402348017
sqreturn_correlation_ts1_lag_0,1.8080342538543117
sqreturn_correlation_ts1_lag_1,0.2143252104244687
sqreturn_correlation_ts1_lag_2,0.31147334630671875
sqreturn_correlation_ts1_lag_3,0.040880437456133525
sqreturn_correlation_ts2_lag_1,0.1261552624269457
sqreturn_correlation_ts2_lag_2,0.28484922543565505
sqreturn_correlation_ts2_lag_3,0.008129167375652474
price2_granger_cause_price1,-1.3021423473455391
price1_granger_cause_price2,-0.569127609102015
